condition,symptoms
Abdominal aortic aneurysm,"tummy or back pain, a pulsing feeling in your tummy"
Achalasia,"bringing back up undigested food, choking and coughing fits, heartburn, chest pain, repeated chest infections, drooling of vomit or saliva, gradual but significant weight loss"
Acne,"face – this affects almost everyone with acne, back – this affects more than half of people with acne, chest – this affects about 15% of people with acne"
Acoustic neuroma (vestibular schwannoma),"hearing loss that usually only affects 1 ear, hearing sounds that come from inside the body (tinnitus), the sensation that you're moving or spinning (vertigo)"
Acromegaly,"swollen hands and feet – you may notice a change in your ring or shoe size, tiredness and difficulty sleeping, and sometimes sleep apnoea, gradual changes in your facial features, such as your brow, lower jaw and nose getting larger, or your teeth becoming more widely spaced, numbness and weakness in your hands, caused by a compressed nerve (carpal tunnel syndrome)"
Acute cholecystitis,"a high temperature, feeling sick, being sick, sweating, loss of appetite, yellowing of the skin and the whites of the eyes (jaundice), a bulge in the tummy"
Acute kidney injury,"feeling sick or being sick, diarrhoea, dehydration, peeing less than usual, confusion, drowsiness"
Acute myeloid leukaemia,"looking pale or ""washed out"", feeling tired or weak, breathlessness, frequent infections, unusual and frequent bruising or bleeding, such as bleeding gums or nosebleeds, losing weight without trying to"
Acute pancreatitis,"suddenly getting severe pain in the centre of your tummy (abdomen), feeling or being sick, a high temperature of 38C or more (fever)"
Acute respiratory distress syndrome (ARDS),"shortness of breath, taking short, fast breaths"
Addison's disease,"lack of energy or motivation (fatigue), muscle weakness, low mood, loss of appetite and unintentional weight loss, increased thirst"
Adenomyosis,"painful periods, heavy bleeding during your period"
Alcohol-related liver disease,"feeling sick, weight loss, loss of appetite, yellowing of the whites of the eyes or skin (jaundice), swelling in the ankles and tummy, confusion or drowsiness, vomiting blood or passing blood in your stools"
Altitude sickness,"a headache, loss of appetite, feeling or being sick, feeling tired or exhausted, dizziness, difficulty sleeping"
Amyloidosis,"feeling very tired or weak, losing weight without trying to, shortness of breath, swollen feet or legs, bruising around your eyes"
Vitamin B12 or folate deficiency anaemia,"extreme tiredness, a lack of energy, pins and needles, a sore and red tongue, mouth ulcers, muscle weakness, problems with your vision, psychological problems, which can range from mild depression or anxiety to confusion and dementia, problems with memory, understanding and judgement"
Anal fistula,"skin irritation around the anus, a constant, throbbing pain that may be worse when you sit down, move around, poo or cough, smelly discharge from near your anus, passing pus or blood when you poo, swelling and redness around your anus and a high temperature if you also have an abscess, difficulty controlling bowel movements (bowel incontinence) in some cases"
Angina,"feels tight, dull or heavy – it may spread to your arms, neck, jaw or back, is triggered by physical exertion or stress, stops within a few minutes of resting"
Ankylosing spondylitis,"back pain and stiffness, pain and swelling in other parts of the body – caused by inflammation of the joints (arthritis) and inflammation where a tendon joins a bone (enthesitis), extreme tiredness (fatigue)"
Anxiety disorders in children,"finding it hard to concentrate, not sleeping, or waking in the night with bad dreams, eating more or less than usual, quickly getting angry or irritable, and being out of control during outbursts, constantly worrying or having negative thoughts, feeling tense and fidgety, or using the toilet often, always crying, being clingy, especially in young children, complaining of tummy aches and feeling unwell"
Aphasia,"reading, listening, speaking, typing or writing"
Appendicitis,"feeling or being sick, or loss of appetite, a high temperature, constipation or diarrhoea, peeing more than usual, sudden confusion (in older people)"
Heart rhythm problems (arrhythmia),"like your heart is pounding, racing, fluttering or missing a beat (heart palpitations) – this may last for a few seconds up to a few minutes, short of breath, lightheaded, dizzy or like you might faint, tired, chest pain or discomfort"
Arthritis,"joint pain, tenderness and stiffness, inflammation in and around the joints, restricted movement of the joints, warm red skin over the affected joint, weakness and muscle wasting"
Asbestosis,"shortness of breath, persistent cough, wheezing, extreme tiredness (fatigue), pain in your chest or shoulder, in more advanced cases, clubbed (swollen) fingertips"
Aspergillosis,"shortness of breath, a cough – you may cough up blood or lumps of mucus, wheezing, a high temperature, losing weight without trying, feeling tired"
Asthma,"a whistling sound when breathing (wheezing), breathlessness, a tight chest, which may feel like a band is tightening around it, coughing"
Atrial fibrillation,"an irregular heartbeat, where your pulse is not steady, suddenly feeling like your heart is pounding, racing, fluttering, skipping or missing a beat (heart palpitations) – this may last for a few seconds up to a few minutes, a heartbeat faster than 100 beats per minute, feeling very tired, finding it harder to exercise, chest pain or tightness, feeling short of breath, lightheaded, dizzy or like you might faint"
Bird flu,"a very high temperature or feeling hot or shivery, aching muscles, headache, a cough or shortness of breath"
Behçet's disease,"genital and mouth ulcers, red, painful eyes and blurred vision, acne-like spots, headaches, painful, stiff and swollen joints"
Bell's palsy,"weakness on 1 side of your face, or not being able to move 1 side of your face – this usually happens over a few days, a drooping eyelid or corner of your mouth, drooling, a dry mouth, loss of taste, a dry or watering eye"
